filename,sha256,url
file_example_AVI_1280_1_5MG.avi,50a48a3e5ac93a164c62179ca85d6891eba738807ab29a266122586459f80c10,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2018/04/file_example_AVI_1280_1_5MG.avi
file_example_MOV_1280_1_4MB.mov,2ff020aa426b7e49606dda50ef48812925f265e570456a09261932fff0d54c21,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2018/04/file_example_MOV_1280_1_4MB.mov
file_example_MP4_1280_10MG.mp4,8ab080c1406dff77f8897955cf977e9ad779e40ab3a07bc2f8694fbd2fc2be21,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/04/file_example_MP4_1280_10MG.mp4
file_example_OGG_1280_11_4mg.ogg,ee046e98aee47af6190167abd6cfe86448055767c61ec1150a87e5d60d78c713,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2018/04/file_example_OGG_1280_11_4mg.ogg
file_example_WMV_1280_4_9MB.wmv,4dfff2fe1d6ca1838a9dbb4d81610178e93c64294083ee904247aacb1ed3edc9,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2018/04/file_example_WMV_1280_4_9MB.wmv
file_example_WEBM_1280_3_6MB.webm,c1a8ec81bcf8641f4801e59948ef6e55cc4be8e15a909a417ebb40010119e0d3,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2020/03/file_example_WEBM_1280_3_6MB.webm
file_example_MP3_5MG.mp3,d0a6bd57a07c74191bbffd988a6a9ddb6deccdcf09759240645ad57ae66804fe,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/11/file_example_MP3_5MG.mp3
file_example_WAV_10MG.wav,ac271d37613028e991fc72097dc01fea527073483867a90cc3a7c0496ccd614e,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/11/file_example_WAV_10MG.wav
file_example_OOG_5MG.ogg,a8cc3ad41bb226933313dca8fc0bf041825e71cbaa068ad1d2128cfff4504aa1,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/11/file_example_OOG_5MG.ogg
file-sample_100kB.doc,45e07cf623e634b96b3e82aeaf7ecc74efd03a05808bf1eb69ceef8a9df7d135,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/02/file-sample_100kB.doc
file-sample_100kB.docx,332794745f5622beb843399e988a12b2d388c97c92ff1860f847b4aeadc5e0a0,https://file-examples.com/storage/fea4ef07a863619cfa0b308/2017/02/file-sample_100kB.docx
